player_id,player_name,date,description,injury_category,season
199,Trevor Ariza,2021-10-27,Injury/Illness - Right Ankle; Injury recovery,Ankle,2022
39,Terry Rozier,2021-10-27,Injury/Illness - Right Ankle; Sprain,Ankle,2022
124,P.J. Washington,2021-10-27,Injury/Illness - Right Knee; Sprain,Knee,2022
216,Michael Carter-Williams,2021-10-27,Injury/Illness - Left Ankle; Injury recovery,Ankle,2022
123,Markelle Fultz,2021-10-27,Injury/Illness - Left Knee; Injury recovery,Knee,2022
726,Jonathan Isaac,2021-10-27,Injury/Illness - Left Knee; Injury recovery,Knee,2022
250,Chuma Okeke,2021-10-27,Injury/Illness - Right Hip; Bone bruise,Hip,2022
118,Danilo Gallinari,2021-10-27,Injury/Illness - Left Shoulder; Soreness,Shoulder,2022
89,De'Andre Hunter,2021-10-27,Injury/Illness - Non-covid; Illness,Illness/Protocol,2022
390,Onyeka Okongwu,2021-10-27,Injury/Illness - Right Shoulder; Injury Recovery,Shoulder,2022
154,Lou Williams,2021-10-27,Injury/Illness - Right Ankle; Soreness,Ankle,2022
204,Josh Hart,2021-10-27,Injury/Illness - Right Quadriceps; Tendinosis,Illness/Protocol,2022
8,Zion Williamson,2021-10-27,Injury/Illness - Right Foot; Fracture,Foot,2022
42,Caris LeVert,2021-10-27,Injury/Illness - Back; Sore,Back,2022
391,Kelan Martin,2021-10-27,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
81,T.J. Warren,2021-10-27,Injury/Illness - Left Navicular; Fracture,Illness/Protocol,2022
375,E'Twaun Moore,2021-10-27,Injury/Illness - Left Knee; Sprained,Knee,2022
398,Yuta Watanabe,2021-10-27,Injury/Illness - Left Calf; Strain,Calf,2022
34,Pascal Siakam,2021-10-27,Injury/Illness - Left Shoulder; Injury recovery,Shoulder,2022
31,Anthony Davis,2021-10-27,Injury/Illness - Right Knee; Soreness,Knee,2022
497,Cassius Winston,2021-10-27,Injury/Illness - Left Hamstring; Left hamstring strain,Hamstring,2022
223,Raul Neto,2021-10-27,Injury/Illness - Left Shoulder; Left shoulder contusion,Shoulder,2022
444,Anthony Gill,2021-10-27,Injury/Illness - Right Calf; Right calf strain,Calf,2022
97,Thomas Bryant,2021-10-27,Injury/Illness - Left Knee; Injury recovery,Knee,2022
418,Brodric Thomas,2021-10-27,G League - Two-Way,Other,2022
105,Rui Hachimura,2021-10-27,Not With Team,Other,2022
441,Romeo Langford,2021-10-27,Injury/Illness - Left Calf; Strain,Calf,2022
101,Al Horford,2021-10-27,Injury/Illness - Left Adductor; Strain,Illness/Protocol,2022
630,Sam Hauser,2021-10-27,G League - Two-Way,Other,2022
44,Victor Oladipo,2021-10-27,Injury/Illness - Right Knee; Injury Recovery,Knee,2022
658,Marcus Garrett,2021-10-27,G League - Two-Way,Other,2022
251,Payton Pritchard,2021-10-27,Injury/Illness - Nasal Fracture; Face Mask,Illness/Protocol,2022
10,Kyrie Irving,2021-10-27,Ineligible To Play,Other,2022
495,Miye Oni,2021-10-28,Injury/Illness - N/A; non-COVID illness,Illness/Protocol,2022
153,Rudy Gay,2021-10-28,Injury/Illness - Right Heel; Injury Recovery,Illness/Protocol,2022
67,Bojan Bogdanovic,2021-10-28,Injury/Illness - N/A; non-COVID illness,Illness/Protocol,2022
519,Udoka Azubuike,2021-10-28,G League - On Assignment,Other,2022
342,Garrison Mathews,2021-10-28,G League - Two-Way,Other,2022
218,Danuel House Jr.,2021-10-28,Injury/Illness - Right Foot; Sprain,Foot,2022
196,Eric Paschall,2021-10-28,Injury/Illness - N/A; Facial Infection,Illness/Protocol,2022
429,Luka Samanic,2021-10-28,G League - Two-Way,Other,2022
620,Daishen Nix,2021-10-28,G League - Two-Way,Other,2022
237,Sterling Brown,2021-10-28,Injury/Illness - Left Ankle; Sprain,Ankle,2022
639,Joe Wieskamp,2021-10-28,G League - Two-Way,Other,2022
384,Boban Marjanovic,2021-10-28,Injury/Illness - Low Back; Tightness,Back,2022
493,Devontae Cacok,2021-10-28,G League - Two-Way,Other,2022
